Time,well,value,mrna,buffer,buffer_conc,repeat,comment
7.524166666666666,J14,845,yes,Ppi,.025 mM,R3,no mrna
7.574166666666667,J14,413,yes,Ppi,.025 mM,R3,no mrna
7.624166666666666,J14,339,yes,Ppi,.025 mM,R3,no mrna
7.674166666666666,J14,676,yes,Ppi,.025 mM,R3,no mrna
7.724166666666667,J14,373,yes,Ppi,.025 mM,R3,no mrna
7.774166666666667,J14,453,yes,Ppi,.025 mM,R3,no mrna
7.824166666666667,J14,460,yes,Ppi,.025 mM,R3,no mrna
7.8741666666666665,J14,471,yes,Ppi,.025 mM,R3,no mrna
7.924166666666666,J14,424,yes,Ppi,.025 mM,R3,no mrna
7.974166666666667,J14,551,yes,Ppi,.025 mM,R3,no mrna
8.024166666666666,J14,431,yes,Ppi,.025 mM,R3,no mrna
8.074166666666667,J14,515,yes,Ppi,.025 mM,R3,no mrna
8.124166666666667,J14,461,yes,Ppi,.025 mM,R3,no mrna
8.174166666666666,J14,587,yes,Ppi,.025 mM,R3,no mrna
8.224166666666667,J14,603,yes,Ppi,.025 mM,R3,no mrna
8.274166666666666,J14,693,yes,Ppi,.025 mM,R3,no mrna
8.324166666666667,J14,639,yes,Ppi,.025 mM,R3,no mrna
8.374166666666667,J14,629,yes,Ppi,.025 mM,R3,no mrna
8.424166666666666,J14,644,yes,Ppi,.025 mM,R3,no mrna
8.474166666666667,J14,597,yes,Ppi,.025 mM,R3,no mrna
8.524166666666666,J14,456,yes,Ppi,.025 mM,R3,no mrna
8.574166666666667,J14,428,yes,Ppi,.025 mM,R3,no mrna
8.624166666666667,J14,467,yes,Ppi,.025 mM,R3,no mrna
8.674166666666666,J14,680,yes,Ppi,.025 mM,R3,no mrna
8.724166666666667,J14,711,yes,Ppi,.025 mM,R3,no mrna
8.774166666666666,J14,390,yes,Ppi,.025 mM,R3,no mrna
8.824166666666667,J14,722,yes,Ppi,.025 mM,R3,no mrna
8.874166666666667,J14,644,yes,Ppi,.025 mM,R3,no mrna
8.924166666666666,J14,611,yes,Ppi,.025 mM,R3,no mrna
8.974166666666667,J14,555,yes,Ppi,.025 mM,R3,no mrna
9.024166666666666,J14,448,yes,Ppi,.025 mM,R3,no mrna
9.074166666666667,J14,479,yes,Ppi,.025 mM,R3,no mrna
9.124166666666667,J14,569,yes,Ppi,.025 mM,R3,no mrna
9.174166666666666,J14,407,yes,Ppi,.025 mM,R3,no mrna
9.224166666666667,J14,679,yes,Ppi,.025 mM,R3,no mrna
9.274166666666666,J14,584,yes,Ppi,.025 mM,R3,no mrna
9.324166666666667,J14,384,yes,Ppi,.025 mM,R3,no mrna
9.374166666666667,J14,534,yes,Ppi,.025 mM,R3,no mrna
9.424166666666666,J14,666,yes,Ppi,.025 mM,R3,no mrna
9.474166666666667,J14,577,yes,Ppi,.025 mM,R3,no mrna
9.524166666666666,J14,474,yes,Ppi,.025 mM,R3,no mrna
9.574166666666667,J14,427,yes,Ppi,.025 mM,R3,no mrna
9.624166666666667,J14,485,yes,Ppi,.025 mM,R3,no mrna
9.674166666666666,J14,422,yes,Ppi,.025 mM,R3,no mrna
9.724166666666667,J14,465,yes,Ppi,.025 mM,R3,no mrna
9.774166666666666,J14,470,yes,Ppi,.025 mM,R3,no mrna
9.824166666666667,J14,654,yes,Ppi,.025 mM,R3,no mrna
9.874166666666667,J14,458,yes,Ppi,.025 mM,R3,no mrna
9.924166666666666,J14,377,yes,Ppi,.025 mM,R3,no mrna
9.974166666666667,J14,443,yes,Ppi,.025 mM,R3,no mrna
10.024166666666666,J14,354,yes,Ppi,.025 mM,R3,no mrna
10.074166666666667,J14,581,yes,Ppi,.025 mM,R3,no mrna
10.124166666666667,J14,413,yes,Ppi,.025 mM,R3,no mrna
10.174166666666666,J14,329,yes,Ppi,.025 mM,R3,no mrna
10.224166666666667,J14,469,yes,Ppi,.025 mM,R3,no mrna
10.274166666666666,J14,506,yes,Ppi,.025 mM,R3,no mrna
10.324166666666667,J14,532,yes,Ppi,.025 mM,R3,no mrna
10.374166666666667,J14,605,yes,Ppi,.025 mM,R3,no mrna
10.424166666666666,J14,364,yes,Ppi,.025 mM,R3,no mrna
10.474166666666667,J14,511,yes,Ppi,.025 mM,R3,no mrna
10.524166666666666,J14,485,yes,Ppi,.025 mM,R3,no mrna
10.574166666666667,J14,599,yes,Ppi,.025 mM,R3,no mrna
10.624166666666667,J14,538,yes,Ppi,.025 mM,R3,no mrna
10.674166666666666,J14,570,yes,Ppi,.025 mM,R3,no mrna
10.724166666666667,J14,442,yes,Ppi,.025 mM,R3,no mrna
10.774166666666666,J14,426,yes,Ppi,.025 mM,R3,no mrna
10.824166666666667,J14,465,yes,Ppi,.025 mM,R3,no mrna
10.874166666666667,J14,674,yes,Ppi,.025 mM,R3,no mrna
10.924166666666666,J14,455,yes,Ppi,.025 mM,R3,no mrna
10.974166666666667,J14,538,yes,Ppi,.025 mM,R3,no mrna
11.024166666666666,J14,501,yes,Ppi,.025 mM,R3,no mrna
11.074166666666667,J14,425,yes,Ppi,.025 mM,R3,no mrna
11.124166666666667,J14,385,yes,Ppi,.025 mM,R3,no mrna
11.174166666666666,J14,566,yes,Ppi,.025 mM,R3,no mrna
11.224166666666667,J14,551,yes,Ppi,.025 mM,R3,no mrna
11.274166666666666,J14,645,yes,Ppi,.025 mM,R3,no mrna
11.324166666666667,J14,630,yes,Ppi,.025 mM,R3,no mrna
11.374166666666667,J14,729,yes,Ppi,.025 mM,R3,no mrna
11.424166666666666,J14,606,yes,Ppi,.025 mM,R3,no mrna
11.474166666666667,J14,505,yes,Ppi,.025 mM,R3,no mrna
11.524166666666666,J14,614,yes,Ppi,.025 mM,R3,no mrna
11.574166666666667,J14,476,yes,Ppi,.025 mM,R3,no mrna
11.624166666666667,J14,376,yes,Ppi,.025 mM,R3,no mrna
11.674166666666666,J14,478,yes,Ppi,.025 mM,R3,no mrna
11.724166666666667,J14,571,yes,Ppi,.025 mM,R3,no mrna
11.774166666666666,J14,552,yes,Ppi,.025 mM,R3,no mrna
11.824166666666667,J14,611,yes,Ppi,.025 mM,R3,no mrna
11.874166666666667,J14,588,yes,Ppi,.025 mM,R3,no mrna
11.924166666666666,J14,353,yes,Ppi,.025 mM,R3,no mrna
11.974166666666667,J14,576,yes,Ppi,.025 mM,R3,no mrna
12.024166666666666,J14,466,yes,Ppi,.025 mM,R3,no mrna
0.024166666666666666,K9,682,no,Ppi,.05 mM,R1,
0.07416666666666667,K9,742,no,Ppi,.05 mM,R1,
0.12416666666666668,K9,615,no,Ppi,.05 mM,R1,
