Time,Temp C,well,value,na,na_conc,dtt_added,date,construct,system,repeat,gfp_max,mgapt_max,ratio
283.05,37.0,F2,30952,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
286.05,37.0,F2,31264,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
289.05,37.0,F2,30674,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
292.05,37.0,F2,30924,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
295.05,37.0,F2,31104,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
298.05,37.0,F2,31196,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
301.05,37.0,F2,31180,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
304.05,37.0,F2,31102,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
307.05,37.0,F2,31447,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
310.05,37.0,F2,31178,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
313.05,37.0,F2,30913,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
316.05,37.0,F2,31084,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
319.05,37.0,F2,31190,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
322.05,37.0,F2,31337,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
325.05,37.0,F2,31491,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
328.05,37.0,F2,31175,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
331.05,37.0,F2,31204,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
334.05,37.0,F2,31150,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
337.05,37.0,F2,31498,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
340.05,37.0,F2,30954,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
343.05,37.0,F2,31051,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
346.05,37.0,F2,31267,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
349.05,37.0,F2,31024,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
352.05,37.0,F2,31054,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
355.05,37.0,F2,31323,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
358.05,37.0,F2,31176,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
361.05,37.0,F2,30928,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
364.05,37.0,F2,30996,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
367.05,37.0,F2,31152,dna,4.93,0.0,2024.01.20,MGapt-deGFP,PURExpress,R1,32060.0,49134.0,0.6525013229128506
